LENGTH,PATH
7.24234126984127,"['19TCG1685' '19TCG3394' '19TCG3495' '19TCG3696' '19TCG4098' '19TCG3193'
 '19TCG3093' '19TCG3092' '19TCG2992' '19TCG2791' '19TCG2590' '19TCG2489']"
6.526468253968253,"['19TCG1685' '19TCG2691' '19TCG2792' '19TCG2892' '19TCG3094' '19TCG3295'
 '19TCG3396' '19TCG3496' '19TCG2490']"
6.836507936507938,"['19TCG1685' '19TCH4404' '19TCH4203' '19TCH3800' '19TCG3698' '19TCG3598'
 '19TCG3497' '19TCG3296' '19TCG2994' '19TCG2893']"
6.086904761904762,"['19TCG1685' '19TCG2390' '19TCH4002' '19TCH4103' '19TCH4204' '19TCH4304'
 '19TCG3095' '19TCG2793' '19TCG2692']"
7.259761904761905,"['19TCG1685' '19TCG2894' '19TCG2995' '19TCH4607' '19TCH4003' '19TCH3802'
 '19TCH3701' '19TCG3398' '19TCG3297' '19TCG3196' '19TCG2491']"
7.504444444444444,"['19TCG1685' '19TCH4307' '19TCH4004' '19TCH3903' '19TCG3197' '19TCG3096'
 '19TCG2693']"
7.370158730158731,"['19TCG1685' '19TCH4509' '19TCH4308' '19TCH4207' '19TCH3803' '19TCH3703'
 '19TCG3097' '19TCG2794' '19TCG2391' '19TCG2290']"
8.660515873015873,"['19TCG1685' '19TCH4309' '19TCH4208' '19TCH3905' '19TCH3804' '19TCH3603'
 '19TCH3502' '19TCH3401' '19TCH3300' '19TCG3299' '19TCG3198' '19TCG2593'
 '19TCG2492']"
7.523769841269841,"['19TCG1685' '19TCG2795' '19TCG2997' '19TCG3098' '19TCG3199' '19TCH3100'
 '19TCH3302' '19TCH3402' '19TCH3403' '19TCH4009' '19TCH4109' '19TCH4209'
 '19TCH4310' '19TCH4110' '19TCG2694']"
7.160912698412699,"['19TCG1685' '19TCH4011' '19TCH4010' '19TCH3707' '19TCG3099' '19TCG2999'
 '19TCG2998' '19TCG2897' '19TCG2796' '19TCG2696' '19TCG2695' '19TCG2594'
 '19TCG2493']"
5.651785714285714,"['19TCG1685' '19TCG2191' '19TCG2798' '19TCG2899' '19TCH3002' '19TCH3102'
 '19TCH3405' '19TCH3408' '19TCG2596' '19TCG2595' '19TCG2495' '19TCG2494']"
5.615595238095238,"['19TCG1685' '19TCG2192' '19TCG2293' '19TCG2394' '19TCG2496' '19TCG2698'
 '19TCH3005' '19TCH3106' '19TCH3107' '19TCH3003' '19TCH2903' '19TCH2700'
 '19TCG2699' '19TCG1989']"
6.400714285714286,"['19TCG1685' '19TCH2907' '19TCH3009' '19TCH3007' '19TCH3006' '19TCH2804'
 '19TCH2704' '19TCG2599' '19TCG2498' '19TCG2497' '19TCG2397' '19TCG2295'
 '19TCG2294']"
6.336666666666668,"['19TCG1685' '19TCH2807' '19TCH2705' '19TCH2605' '19TCH2504' '19TCH2503'
 '19TCH2401' '19TCG2398' '19TCG2195' '19TCG2194' '19TCG2093' '19TCG1991'
 '19TCG1787']"
6.214365079365079,"['19TCG1685' '19TCG2298' '19TCH2402' '19TCH2406' '19TCH2611' '19TCH2609'
 '19TCH2505' '19TCH2304' '19TCG2198' '19TCG2196' '19TCG2094' '19TCG1992'
 '19TCG1890']"
4.775714285714286,"['19TCG1685' '19TCG1891' '19TCG1994' '19TCG1995' '19TCG1996' '19TCG2098'
 '19TCG2199' '19TCH2101' '19TCH2203' '19TCH2305' '19TCH2306' '19TCH2308'
 '19TCH2208' '19TCH2105' '19TCH2104']"
3.7225396825396824,"['19TCG1685' '19TCG1793' '19TCG1694' '19TCG1695' '19TCG1696' '19TCH1800'
 '19TCH1906' '19TCH2007' '19TCH1907' '19TCH1908' '19TCH1707' '19TCH1602'
 '19TCH1601' '19TCH1701' '19TCG1797' '19TCG1791']"
5.343968253968254,"['19TCG1685' '19TCG1492' '19TCG1493' '19TCH1203' '19TCH1206' '19TCH1308'
 '19TCH1411' '19TCH1503' '19TCG1596' '19TCG1594' '19TCG1593' '19TCG1592'
 '19TCG1590']"
